0	0079	ffd6	121	-42
1	0045	0000	69	0
2	0013	0000	19	0
3	0013	ffec	19	-20
4	0012	0013	18	19
5	ffe9	ffe4	-23	-28
6	0013	0007	19	7
7	0013	fff7	19	-9
8	ffe9	0019	-23	25
9	ff60	ff68	-160	-152
10	0013	0002	19	2
11	0012	fff3	18	-13
12	0011	001c	17	28
13	0011	ffe1	17	-31
14	0012	000b	18	11
15	0014	fffc	20	-4
16	ff60	0094	-160	148
17	ff48	0001	-184	1
18	0012	0001	18	1
19	0014	fff1	20	-15
20	0014	0017	20	23
21	0018	ffda	24	-38
22	0012	0009	18	9
23	0012	fff9	18	-7
24	0038	004b	56	75
25	0039	ffb2	57	-78
26	0012	0004	18	4
27	0013	fff4	19	-12
28	0017	0023	23	35
29	0014	ffe8	20	-24
30	0013	000d	19	13
31	0013	fffe	19	-2
32	ff4a	fffd	-182	-3
33	022c	05fa	556	1530
34	0013	0000	19	0
35	0012	ffee	18	-18
36	0012	0014	18	20
37	0014	ffdc	20	-36
38	0012	0007	18	7
39	0014	fff8	20	-8
40	ffeb	0037	-21	55
41	0074	fff0	116	-16
42	0013	0004	19	4
43	0012	fff5	18	-11
44	0017	001d	23	29
45	0011	ffe2	17	-30
46	0012	000d	18	13
47	0013	fffc	19	-4
48	ffd3	012a	-45	298
49	ffd1	fed2	-47	-302
50	0013	0001	19	1
51	0013	fff1	19	-15
52	0011	001b	17	27
53	0018	ffe1	24	-31
54	0012	000a	18	10
55	0013	fffa	19	-6
56	0074	000d	116	13
57	ffea	ffc5	-22	-59
58	0014	0005	20	5
59	0012	fff6	18	-10
60	0014	0021	20	33
61	0012	ffe9	18	-23
62	0011	0010	17	16
63	0012	ffff	18	-1
64	022c	fa03	556	-1533
65	fec4	fde3	-316	-541
66	0013	0000	19	0
67	0013	ffee	19	-18
68	0013	0015	19	21
69	ffdf	ffda	-33	-38
70	0013	0007	19	7
71	0013	fff8	19	-8
72	0028	003b	40	59
73	ffd0	ff0c	-48	-244
74	0012	0003	18	3
75	0012	fff4	18	-12
76	0023	0034	35	52
77	0013	ffe0	19	-32
78	0011	000d	17	13
79	0012	fffc	18	-4
80	0504	ff6a	1284	-150
81	fe90	004b	-368	75
82	0013	0001	19	1
83	0013	fff1	19	-15
84	0018	0013	24	19
85	0010	ffdd	16	-35
86	0013	0009	19	9
87	0012	fff9	18	-7
88	fffc	0030	-4	48
89	ffe5	ffc6	-27	-58
90	0013	0005	19	5
91	0013	fff4	19	-12
92	0012	0026	18	38
93	0012	ffe8	18	-24
94	0015	000d	21	13
95	0013	fffd	19	-3
96	ffe1	03a1	-31	929
97	ffdf	fc5a	-33	-934
98	0012	0000	18	0
99	0014	fff0	20	-16
100	0011	0015	17	21
101	0012	ffd7	18	-41
102	0013	0009	19	9
103	0014	fff9	20	-7
104	ffe6	0037	-26	55
105	fffc	ffcc	-4	-52
106	0012	0004	18	4
107	0013	fff4	19	-12
108	000f	0020	15	32
109	0019	ffea	25	-22
110	0013	000d	19	13
111	0013	fffd	19	-3
112	fe91	ffb3	-367	-77
113	0505	0094	1285	148
114	0012	0002	18	2
115	0012	fff1	18	-15
116	0012	001d	18	29
117	0024	ffca	36	-54
118	0012	000b	18	11
119	0013	fffb	19	-5
120	ffd1	00f1	-47	241
121	0029	ffc1	41	-63
122	0013	0005	19	5
123	0014	fff6	20	-10
124	ffe0	0022	-32	34
125	0014	ffe7	20	-25
126	0014	0010	20	16
127	0013	fffe	19	-2
128	fec6	0217	-314	535
129	0046	ff36	70	-202
130	0013	0000	19	0
131	0016	ffec	22	-20
132	0014	0013	20	19
133	0016	ffd0	22	-48
134	0012	0006	18	6
135	0014	fff8	20	-8
136	ffce	000a	-50	10
137	0084	ff7c	132	-132
138	0013	0004	19	4
139	0012	fff3	18	-13
140	0015	001f	21	31
141	0013	ffe2	19	-30
142	0012	000d	18	13
143	0012	fffb	18	-5
144	0084	014a	132	330
145	ff18	ff70	-232	-144
146	0013	0001	19	1
147	0011	fff0	17	-16
148	0012	0016	18	22
149	000e	ffd9	14	-39
150	0012	0009	18	9
151	0013	fffa	19	-6
152	004f	0040	79	64
153	0088	0009	136	9
154	0013	0005	19	5
155	0013	fff5	19	-11
156	0010	0017	16	23
157	0013	ffe7	19	-25
158	0012	000e	18	14
159	0013	fffd	19	-3
160	ffac	0067	-84	103
161	fd16	f994	-746	-1644
162	0012	0000	18	0
163	0015	ffef	21	-17
164	0013	0016	19	22
165	0032	ffbf	50	-65
166	0013	0008	19	8
167	0013	fff8	19	-8
168	0000	003a	0	58
169	0004	fed6	4	-298
170	0012	0004	18	4
171	0012	fff4	18	-12
172	003e	fff0	62	-16
173	0012	ffe7	18	-25
174	0011	000d	17	13
175	0012	fffe	18	-2
176	0036	fefa	54	-262
177	ff81	ffa3	-127	-93
178	0013	0003	19	3
179	0012	fff1	18	-15
180	0014	001a	20	26
181	0016	ffe3	22	-29
182	0012	000a	18	10
183	0012	fffa	18	-6
184	003e	00bd	62	189
185	001c	ffb5	28	-75
186	0014	0006	20	6
187	0013	fff7	19	-9
188	000e	0023	14	35
189	0012	ffec	18	-20
190	0013	0011	19	17
191	0012	ffff	18	-1
192	0291	ffef	657	-17
193	0291	000f	657	15
194	0013	0000	19	0
195	0014	ffed	20	-19
196	0013	0011	19	17
197	000f	ffda	15	-38
198	0013	0008	19	8
199	0014	fff8	20	-8
200	001c	0048	28	72
201	003f	ff40	63	-192
202	0012	0005	18	5
203	0011	fff4	17	-12
204	0015	001a	21	26
205	0015	ffe4	21	-28
206	0012	000d	18	13
207	0014	fffb	20	-5
208	ff82	0059	-126	89
209	0037	0104	55	260
210	0013	0002	19	2
211	0011	fff1	17	-15
212	0012	0017	18	23
213	003f	000f	63	15
214	0012	000b	18	11
215	0012	fffa	18	-6
216	0004	0126	4	294
217	0002	ffc2	2	-62
218	0013	0005	19	5
