0	fee2	fff4	-286	-12
1	fe62	0000	-414	0
2	0009	0000	9	0
3	0006	fff8	6	-8
4	0005	0007	5	7
5	fff7	ffe2	-9	-30
6	0008	0003	8	3
7	0008	fffc	8	-4
8	fff7	001c	-9	28
9	006a	ffa5	106	-91
10	0008	0001	8	1
11	0009	fff9	9	-7
12	0004	000a	4	10
13	0004	fff3	4	-13
14	0008	0004	8	4
15	0008	fffd	8	-3
16	0069	0058	105	88
17	002c	ff3c	44	-196
18	0008	0000	8	0
19	0009	fff8	9	-8
20	0008	000a	8	10
21	000f	ffdb	15	-37
22	0009	0004	9	4
23	0009	fffc	9	-4
24	0009	0023	9	35
25	0009	ffd9	9	-39
26	0008	0001	8	1
27	0009	fffa	9	-6
28	000e	0022	14	34
29	0009	fff4	9	-12
30	0009	0006	9	6
31	0008	fffd	8	-3
32	002c	00c0	44	192
33	fd77	0570	-649	1392
34	0008	0000	8	0
35	000b	fff6	11	-10
36	000a	0007	10	7
37	0013	ffea	19	-22
38	0008	0003	8	3
39	0008	fffb	8	-5
40	0000	0037	0	55
41	0066	006c	102	108
42	0009	0002	9	2
43	0009	fff9	9	-7
44	000b	000d	11	13
45	000a	fff2	10	-14
46	0008	0006	8	6
47	0009	fffe	9	-2
48	0018	fff0	24	-16
49	0018	000d	24	13
50	0009	0000	9	0
51	0008	fff9	8	-7
52	000a	000c	10	12
53	000a	fff1	10	-15
54	0008	0005	8	5
55	0009	fffe	9	-2
56	0065	ff92	101	-110
57	0000	ffc5	0	-59
58	0009	0002	9	2
59	0008	fffb	8	-5
60	0013	0014	19	20
61	000b	fff7	11	-9
62	000b	0009	11	9
63	0009	ffff	9	-1
64	fd7a	fa8d	-646	-1395
65	fd01	ffd5	-767	-43
66	0008	0000	8	0
67	000c	fff2	12	-14
68	0007	0008	7	8
69	000c	fff2	12	-14
70	0008	0003	8	3
71	0008	fffb	8	-5
72	fffc	002b	-4	43
73	ffe9	0064	-23	100
74	0008	0001	8	1
75	0009	fffa	9	-6
76	000e	0005	14	5
77	0009	fff2	9	-14
78	0009	0005	9	5
79	0008	fffd	8	-3
80	0096	0316	150	790
81	ff61	010e	-159	270
82	0009	0000	9	0
83	0009	fff8	9	-8
84	0007	000c	7	12
85	0008	fff2	8	-14
86	0008	0004	8	4
87	0008	fffc	8	-4
88	0000	0030	0	48
89	0005	ffcf	5	-49
90	0009	0002	9	2
91	0009	fffc	9	-4
92	0006	000e	6	14
93	000b	fff6	11	-10
94	0008	0004	8	4
95	0009	ffff	9	-1
96	ffe2	ff4f	-30	-177
97	ffdf	00ae	-33	174
98	0008	0000	8	0
99	0008	fff9	8	-7
100	000a	0007	10	7
101	0006	ffef	6	-17
102	0009	0001	9	1
103	0008	fffc	8	-4
104	0004	002e	4	46
105	0000	ffcd	0	-51
106	0009	0002	9	2
107	0009	fffa	9	-6
108	0008	000b	8	11
109	0008	fff1	8	-15
