0	0077	0042	119	66
1	0004	0000	4	0
2	fffe	0000	-2	0
3	fffe	0003	-2	3
4	fffe	fffd	-2	-3
5	fffd	000b	-3	11
6	fffe	ffff	-2	-1
7	fffe	0001	-2	1
8	fffe	fff4	-2	-12
9	ff97	0037	-105	55
10	fffe	0000	-2	0
11	fffd	0003	-3	3
12	fffe	0000	-2	0
13	fffe	ffff	-2	-1
14	fffe	fffd	-2	-3
15	fffd	0000	-3	0
16	ff98	ffc8	-104	-56
17	0056	001d	86	29
18	fffe	0000	-2	0
19	fffd	0001	-3	1
20	fffd	fffe	-3	-2
21	fffb	0007	-5	7
22	fffd	ffff	-3	-1
23	fffc	0000	-4	0
24	0042	ffdd	66	-35
25	0043	0021	67	33
26	fffd	ffff	-3	-1
27	fffd	0001	-3	1
28	fffc	fff8	-4	-8
29	fffc	0001	-4	1
30	fffd	ffff	-3	-1
31	fffc	0000	-4	0
32	0055	ffe1	85	-31
33	03f6	fa42	1014	-1470
34	fffe	0000	-2	0
35	fffe	0002	-2	2
36	0000	fffd	0	-3
37	fffe	0008	-2	8
38	fffe	ffff	-2	-1
39	fffc	0002	-4	2
40	0005	ffe8	5	-24
41	0026	fffa	38	-6
42	fffe	ffff	-2	-1
43	fffd	0001	-3	1
44	fffb	fffb	-5	-5
45	fffc	0003	-4	3
46	fffd	ffff	-3	-1
47	fffd	ffff	-3	-1
48	ff51	0050	-175	80
49	ff4f	ffab	-177	-85
50	fffe	ffff	-2	-1
51	fffd	0000	-3	0
52	fffd	fffb	-3	-5
53	fffa	0003	-6	3
54	fffe	fffe	-2	-2
55	fffc	ffff	-4	-1
56	0026	0002	38	2
57	0005	0016	5	22
58	fffd	fffe	-3	-2
59	fffd	0001	-3	1
60	ffff	fff7	-1	-9
61	fffe	0001	-2	1
62	fffd	fffd	-3	-3
63	fffc	ffff	-4	-1
64	03f6	05b9	1014	1465
65	ff0b	fe56	-245	-426
66	fffe	0000	-2	0
67	fffd	0002	-3	2
68	fffe	fffe	-2	-2
69	000a	000d	10	13
70	fffe	ffff	-2	-1
71	fffd	0000	-3	0
72	000b	0009	11	9
73	ffc4	ffcf	-60	-49
74	fffe	ffff	-2	-1
75	fffe	0001	-2	1
76	fff9	fff5	-7	-11
77	fffc	0003	-4	3
78	fffe	fffe	-2	-2
79	fffd	0000	-3	0
