0	ff6c	fff2	-148	-14
1	ff57	0000	-169	0
2	0000	0000	0	0
3	0000	0000	0	0
4	0000	0000	0	0
5	000b	fff6	11	-10
6	0000	0000	0	0
7	ffff	ffff	-1	-1
8	000a	0007	10	7
9	ffc4	001a	-60	26
10	0000	0000	0	0
11	0000	ffff	0	-1
12	0001	0000	1	0
13	0001	ffff	1	-1
14	0000	0000	0	0
15	0000	0000	0	0
16	ffc5	ffe4	-59	-28
17	00a9	00d2	169	210
18	0000	0000	0	0
19	0000	0000	0	0
20	0000	0000	0	0
21	fff4	0002	-12	2
22	0000	0000	0	0
23	0000	ffff	0	-1
24	fffd	0005	-3	5
25	fffc	fff7	-4	-9
26	0000	0000	0	0
27	0001	ffff	1	-1
28	fff6	fffd	-10	-3
29	0000	0000	0	0
30	0000	0000	0	0
31	ffff	ffff	-1	-1
32	00a9	ff2b	169	-213
33	ffed	01d2	-19	466
34	0000	0000	0	0
35	0000	0000	0	0
36	0000	0000	0	0
37	0005	fff6	5	-10
38	0000	0000	0	0
39	ffff	ffff	-1	-1
40	000e	ffff	14	-1
41	0006	00a3	6	163
42	0000	0000	0	0
43	0000	ffff	0	-1
44	0000	0000	0	0
45	0001	ffff	1	-1
46	0000	0000	0	0
47	0000	0000	0	0
48	ffa5	ffd5	-91	-43
49	ffa4	0029	-92	41
50	0000	0000	0	0
51	0000	0000	0	0
52	0000	0000	0	0
53	0000	fffe	0	-2
54	0000	0000	0	0
55	ffff	0000	-1	0
56	0006	ff5c	6	-164
57	000e	0000	14	0
58	0000	0000	0	0
59	ffff	ffff	-1	-1
60	0003	0006	3	6
61	0000	ffff	0	-1
62	0000	0000	0	0
63	0000	0000	0	0
64	ffee	fe2b	-18	-469
65	ffc2	0029	-62	41
66	0000	0000	0	0
67	0000	ffff	0	-1
68	0000	0000	0	0
69	0002	fff0	2	-16
70	0000	ffff	0	-1
71	ffff	ffff	-1	-1
72	0014	fffc	20	-4
73	0045	ffd9	69	-39
74	0000	0000	0	0
75	0000	ffff	0	-1
76	fff4	0001	-12	1
77	0001	ffff	1	-1
78	0000	0000	0	0
79	0000	ffff	0	-1
80	ffb8	0180	-72	384
81	ffd3	003c	-45	60
82	0000	0000	0	0
83	0000	0000	0	0
84	0000	0000	0	0
85	0004	fff1	4	-15
86	0000	0000	0	0
87	ffff	0000	-1	0
88	004a	fffa	74	-6
89	000d	0026	13	38
90	0000	0000	0	0
91	0000	0000	0	0
92	fffd	ffff	-3	-1
93	0000	ffff	0	-1
94	0000	0000	0	0
95	0000	0000	0	0
96	ffac	ff0c	-84	-244
97	ffaa	00f2	-86	242
98	0000	0000	0	0
99	0000	ffff	0	-1
100	0000	0000	0	0
101	fffc	0000	-4	0
102	0000	0000	0	0
103	ffff	0000	-1	0
104	000c	ffd8	12	-40
105	004a	0005	74	5
106	0000	0000	0	0
107	0000	ffff	0	-1
108	0004	000c	4	12
109	0000	ffff	0	-1
110	0000	0000	0	0
111	ffff	0000	-1	0
112	ffd4	ffc2	-44	-62
113	ffb6	fe7c	-74	-388
114	0000	0000	0	0
115	ffff	ffff	-1	-1
116	0000	0000	0	0
117	fff3	fffc	-13	-4
118	0000	0000	0	0
119	0000	ffff	0	-1
120	0045	0023	69	35
121	0015	0002	21	2
122	0000	0000	0	0
123	0000	0000	0	0
124	0002	000d	2	13
125	0000	ffff	0	-1
126	0000	0000	0	0
127	0000	ffff	0	-1
128	ffc4	ffd3	-60	-45
129	ffd7	ff7b	-41	-133
130	0000	ffff	0	-1
131	0000	0000	0	0
132	0000	0000	0	0
133	ffff	fff9	-1	-7
134	0000	0000	0	0
135	0000	ffff	0	-1
136	ffd9	fff9	-39	-7
137	ffc6	ff8f	-58	-113
138	0000	0000	0	0
139	0000	0000	0	0
140	fffc	ffff	-4	-1
141	0000	fffe	0	-2
142	0000	0000	0	0
143	ffff	ffff	-1	-1
144	00ac	0064	172	100
145	ff4e	ffd1	-178	-47
146	0000	0000	0	0
147	0000	0000	0	0
148	0000	0000	0	0
149	0004	0000	4	0
150	0000	0000	0	0
151	0000	0000	0	0
152	ffe3	fff7	-29	-9
153	fff1	ffa2	-15	-94
154	0000	0000	0	0
155	0001	ffff	1	-1
156	fffd	0001	-3	1
157	0001	ffff	1	-1
158	0000	ffff	0	-1
159	ffff	fffe	-1	-2
160	0053	00b9	83	185
161	fdf1	009c	-527	156
162	0000	0000	0	0
163	0000	0000	0	0
164	0000	0000	0	0
165	ffcd	0001	-51	1
166	0000	0000	0	0
167	0001	0000	1	0
168	ffe9	ffe7	-23	-25
169	0036	001a	54	26
170	0000	0000	0	0
171	0000	ffff	0	-1
172	0000	0004	0	4
173	0000	fffe	0	-2
174	0000	ffff	0	-1
175	0000	ffff	0	-1
176	ff51	000a	-175	10
177	ff48	ffcf	-184	-49
178	0000	0000	0	0
179	0000	ffff	0	-1
180	0000	0000	0	0
181	0002	fffe	2	-2
182	0000	0000	0	0
183	ffff	ffff	-1	-1
184	000c	0011	12	17
185	fffb	0011	-5	17
186	0000	0000	0	0
187	0000	0000	0	0
188	0004	fffb	4	-5
189	0000	ffff	0	-1
190	0000	0000	0	0
191	0000	0000	0	0
192	fffe	fe60	-2	-416
193	fffc	019d	-4	413
194	0000	ffff	0	-1
195	0000	ffff	0	-1
196	0000	ffff	0	-1
197	0004	0004	4	4
198	0000	0000	0	0
199	0000	0000	0	0
200	fffd	ffee	-3	-18
201	000c	ffeb	12	-21
202	0000	ffff	0	-1
203	0000	ffff	0	-1
204	0001	0000	1	0
205	0000	fffe	0	-2
206	0000	0000	0	0
207	0000	fffe	0	-2
208	ff4a	002d	-182	45
209	ff50	fff2	-176	-14
210	0000	0000	0	0
211	0000	0000	0	0
212	0000	0000	0	0
213	0000	fff9	0	-7
214	0000	0000	0	0
215	0000	0000	0	0
216	0036	ffe4	54	-28
217	ffe8	0017	-24	23
218	0000	0000	0	0
219	0000	0000	0	0
220	ffcd	ffff	-51	-1
221	0000	0000	0	0
222	0000	0000	0	0
223	0000	ffff	0	-1
224	fdf2	ff62	-526	-158
225	0053	ff43	83	-189
226	0000	0000	0	0
227	0000	ffff	0	-1
228	0000	ffff	0	-1
229	fffb	fffc	-5	-4
230	0000	0000	0	0
231	0000	ffff	0	-1
232	fff3	005a	-13	90
233	ffe2	0008	-30	8
234	0000	0000	0	0
235	ffff	0000	-1	0
