0	0083	0048	131	72
1	0073	0000	115	0
2	fff5	0000	-11	0
3	fff5	000a	-11	10
4	fff5	fff5	-11	-11
5	ffee	ffed	-18	-19
6	fff5	fffc	-11	-4
7	fff5	0004	-11	4
8	ffef	0011	-17	17
9	fec8	009d	-312	157
10	fff5	fffe	-11	-2
11	fff4	0007	-12	7
12	fff3	fff0	-13	-16
13	fff2	000f	-14	15
14	fff4	fff9	-12	-7
15	fff4	0002	-12	2
16	fec9	ff61	-311	-159
17	ff82	00db	-126	219
18	fff6	ffff	-10	-1
19	fff2	0006	-14	6
20	fff3	fff3	-13	-13
21	fff4	0015	-12	21
22	fff6	fffb	-10	-5
23	fff5	0003	-11	3
24	ffab	0020	-85	32
25	ffaa	ffdc	-86	-36
26	fff5	fffc	-11	-4
27	fff5	0005	-11	5
28	fff4	ffea	-12	-22
29	fff2	000b	-14	11
30	fff2	fff9	-14	-7
31	fff5	0000	-11	0
32	ff83	ff23	-125	-221
33	fb2f	f951	-1233	-1711
34	fff5	ffff	-11	-1
35	fff7	0009	-9	9
36	fff2	fff6	-14	-10
37	fff2	0007	-14	7
38	fff6	fffb	-10	-5
39	fff5	0003	-11	3
40	ffee	ffe6	-18	-26
41	fffc	ffb6	-4	-74
42	fff6	fffc	-10	-4
43	fff5	0006	-11	6
44	fff1	ffec	-15	-20
45	fff1	000f	-15	15
46	fff4	fff9	-12	-7
47	fff4	0001	-12	1
48	0040	0056	64	86
49	0040	ffa6	64	-90
50	fff6	fffe	-10	-2
51	fff4	0006	-12	6
52	fff2	ffef	-14	-17
53	ffef	0013	-17	19
54	fff5	fffa	-11	-6
55	fff5	0003	-11	3
56	fffd	0046	-3	70
57	ffec	0018	-20	24
58	fff5	fffc	-11	-4
59	fff5	0004	-11	4
60	fff2	fff7	-14	-9
61	fff1	0009	-15	9
62	fff7	fff6	-9	-10
63	fff4	0000	-12	0
64	fb31	06aa	-1231	1706
65	0270	fd54	624	-684
66	fff5	0000	-11	0
67	fff4	0009	-12	9
68	fff3	ffef	-13	-17
69	ffdb	ffc8	-37	-56
70	fff6	fffa	-10	-6
71	fff5	0004	-11	4
72	ffd2	0005	-46	5
73	ff4a	008d	-182	141
74	fff5	fffd	-11	-3
75	fff4	0006	-12	6
76	000f	0005	15	5
77	fff3	000e	-13	14
78	fff5	fffa	-11	-6
79	fff5	0001	-11	1
80	fab3	fe9a	-1357	-358
81	013c	ffe2	316	-30
82	fff5	fffe	-11	-2
83	fff4	000a	-12	10
84	fffa	fff3	-6	-13
85	fff6	000e	-10	14
86	fff5	fffb	-11	-5
87	fff3	0002	-13	2
88	ffe6	ffaa	-26	-86
89	ffc8	ffe5	-56	-27
90	fff5	fffc	-11	-4
91	fff6	0005	-10	5
92	fff3	ffe2	-13	-30
93	fff3	000b	-13	11
94	fff4	fff7	-12	-9
95	fff4	0000	-12	0
96	0129	fff9	297	-7
97	0129	0004	297	4
98	fff5	ffff	-11	-1
99	fff5	0009	-11	9
100	fff5	fff4	-11	-12
101	fff3	001c	-13	28
102	fff6	fffb	-10	-5
103	fff5	0002	-11	2
104	ffca	0017	-54	23
105	ffe4	0054	-28	84
106	fff3	fffe	-13	-2
107	fff4	0005	-12	5
108	fff7	fff1	-9	-15
109	fff8	000c	-8	12
110	fff4	fff5	-12	-11
111	fff4	0000	-12	0
112	013b	0019	315	25
113	fab2	0164	-1358	356
114	fff5	fffe	-11	-2
115	fff5	0005	-11	5
116	fff4	fff1	-12	-15
117	0010	fff8	16	-8
118	fff5	fff9	-11	-7
119	fff5	0002	-11	2
120	ff4b	ff70	-181	-144
121	ffd0	fff8	-48	-8
122	fff5	fffb	-11	-5
123	fff6	0004	-10	4
124	ffdc	0035	-36	53
125	fff2	0010	-14	16
126	fff4	fff6	-12	-10
127	fff4	ffff	-12	-1
128	0270	02a8	624	680
129	032a	ffc5	810	-59
130	fff6	0000	-10	0
131	fff4	000a	-12	10
132	fff4	fff6	-12	-10
133	fff3	0018	-13	24
134	fff6	fffb	-10	-5
135	fff4	0002	-12	2
136	ffb2	0023	-78	35
137	0029	00b0	41	176
138	fff5	fffd	-11	-3
139	fff4	0006	-12	6
140	fff2	ffee	-14	-18
141	fff3	000e	-13	14
142	fff5	fff8	-11	-8
143	fff5	0001	-11	1
144	ff3f	ff11	-193	-239
145	0050	02fa	80	762
146	fff5	fffe	-11	-2
147	fff2	0004	-14	4
148	fff3	fff2	-13	-14
149	ffe8	0009	-24	9
150	fff5	fffb	-11	-5
151	fff5	0002	-11	2
152	ffe5	0026	-27	38
153	ffa7	0061	-89	97
154	fff5	fffc	-11	-4
155	fff5	0005	-11	5
156	fff3	ffeb	-13	-21
157	fff6	000c	-10	12
158	fff4	fff8	-12	-8
159	fff5	0001	-11	1
160	ff2b	ff28	-213	-216
161	06c1	fe81	1729	-383
162	fff5	ffff	-11	-1
163	fff4	0009	-12	9
164	fff2	fff3	-14	-13
165	ffc7	0026	-57	38
166	fff5	fffb	-11	-5
167	fff4	0003	-12	3
168	ffd5	ffe9	-43	-23
169	00eb	0002	235	2
170	fff7	fffe	-9	-2
171	fff5	0006	-11	6
172	ffde	ffc9	-34	-55
173	fff5	000c	-11	12
174	fff5	fff6	-11	-10
175	fff4	0000	-12	0
176	0150	001a	336	26
177	000d	0054	13	84
178	fff5	fffe	-11	-2
179	fff6	0007	-10	7
180	fff4	fff1	-12	-15
181	fff0	0011	-16	17
182	fff5	fffb	-11	-5
183	fff4	0002	-12	2
184	0042	ff02	66	-254
185	ffe1	002c	-31	44
186	fff5	fffb	-11	-5
187	fff5	0004	-11	4
188	fff3	fff0	-13	-16
189	fff5	0007	-11	7
190	fff5	fff6	-11	-10
191	fff5	ffff	-11	-1
192	fb12	0336	-1262	822
193	fb0f	fcc5	-1265	-827
194	fff5	ffff	-11	-1
195	fff4	0009	-12	9
196	fff6	fff6	-10	-10
197	fff2	000e	-14	14
198	fff5	fffb	-11	-5
199	fff5	0004	-11	4
200	ffe2	ffd2	-30	-46
201	0043	00fd	67	253
202	fff6	fffe	-10	-2
203	fff5	0006	-11	6
204	fff1	ffee	-15	-18
205	fff3	000d	-13	13
206	fff6	fff9	-10	-7
207	fff4	0001	-12	1
208	000d	ffaa	13	-86
209	0150	ffe2	336	-30
210	fff5	ffff	-11	-1
211	fff5	0009	-11	9
212	fff7	fff3	-9	-13
213	ffdc	0035	-36	53
214	fff5	fff9	-11	-7
215	fff6	0002	-10	2
216	00eb	fffc	235	-4
217	ffd3	0015	-45	21
218	fff5	fffc	-11	-4
219	fff5	0004	-11	4
220	ffc8	ffd8	-56	-40
221	fff1	000b	-15	11
222	fff4	fff6	-12	-10
223	fff4	ffff	-12	-1
224	06c2	017b	1730	379
225	ff29	00d6	-215	214
226	fff5	ffff	-11	-1
227	fff4	0008	-12	8
228	fff6	fff3	-10	-13
229	fff2	0014	-14	20
230	fff5	fffb	-11	-5
231	fff5	0002	-11	2
232	ffa9	ff9d	-87	-99
233	ffe4	ffd7	-28	-41
234	fff5	fffd	-11	-3
235	fff5	0005	-11	5
236	ffe9	fff6	-23	-10
237	fff2	000d	-14	13
238	fff2	fffb	-14	-5
239	fff4	0001	-12	1
240	0050	fd04	80	-764
241	ff3d	00ed	-195	237
242	fff5	fffe	-11	-2
243	fff4	0007	-12	7
244	fff3	fff0	-13	-16
245	fff2	0010	-14	16
246	fff5	fff9	-11	-7
247	fff4	0002	-12	2
248	0029	ff4e	41	-178
249	ffb0	ffda	-80	-38
250	fff3	fffd	-13	-3
251	fff6	0004	-10	4
252	fff4	ffe7	-12	-25
253	fff3	0009	-13	9
254	fff5	fff6	-11	-10
255	fff4	ffff	-12	-1
256	032b	0036	811	54
257	006b	fed6	107	-298
258	fff5	0000	-11	0
259	fff4	0009	-12	9
260	fff4	fff6	-12	-10
261	fff1	0018	-15	24
262	fff5	fffc	-11	-4
263	fff5	0005	-11	5
264	ffe7	ffce	-25	-50
265	ff82	ff35	-126	-203
266	fff4	fffd	-12	-3
267	fff5	0006	-11	6
268	fff3	ffef	-13	-17
269	fff3	000f	-13	15
270	fff5	fffa	-11	-6
271	fff4	0001	-12	1
272	ff28	fe2a	-216	-470
273	001a	00e7	26	231
274	fff5	ffff	-11	-1
275	fff4	0007	-12	7
276	fff9	fff2	-7	-14
277	fff2	001a	-14	26
278	fff4	fffa	-12	-6
279	fff4	0001	-12	1
280	0038	fff1	56	-15
281	ffa5	005b	-91	91
282	fff6	fffd	-10	-3
283	fff5	0005	-11	5
284	fff4	ffea	-12	-22
285	ffef	000d	-17	13
286	fff4	fff8	-12	-8
287	fff4	0000	-12	0
288	002b	ff1c	43	-228
289	00a3	02b2	163	690
290	fff5	ffff	-11	-1
291	fff4	0009	-12	9
292	fff6	fff3	-10	-13
293	fffa	fffd	-6	-3
294	fff5	fffb	-11	-5
295	fff5	0003	-11	3
296	ffe4	ffa1	-28	-95
297	ffc3	ffea	-61	-22
298	fff5	fffe	-11	-2
299	fff5	0006	-11	6
300	fff0	ffe4	-16	-28
301	fff2	0008	-14	8
302	fff5	fff8	-11	-8
303	fff4	0000	-12	0
304	0109	007e	265	126
305	fe89	ff5d	-375	-163
306	fff5	fffe	-11	-2
307	fff5	0006	-11	6
308	fff4	fff1	-12	-15
309	ffef	0012	-17	18
310	fff5	fffa	-11	-6
311	fff5	0003	-11	3
312	0100	ff7e	256	-130
313	fff1	0068	-15	104
314	fff7	fffd	-9	-3
315	fff6	0006	-10	6
316	fff5	fff3	-11	-13
317	fff2	0009	-14	9
318	fff3	fff6	-13	-10
319	fff6	0000	-10	0
320	fcae	ff2d	-850	-211
321	fe4b	03cc	-437	972
322	fff5	ffff	-11	-1
323	fff4	0009	-12	9
324	fff3	fff6	-13	-10
325	fff0	000c	-16	12
326	fff5	fffb	-11	-5
327	fff4	0004	-12	4
328	ffb2	ffb9	-78	-71
329	0046	0065	70	101
330	fff5	fffd	-11	-3
331	fff6	0007	-10	7
332	fff2	ffed	-14	-19
333	fff2	000e	-14	14
334	fff5	fff9	-11	-7
335	fff3	0002	-13	2
336	0154	ff5e	340	-162
337	0015	00ec	21	236
338	fff5	ffff	-11	-1
339	fff4	0008	-12	8
340	fff8	fff6	-8	-10
341	fffa	0008	-6	8
342	fff7	fff8	-9	-8
343	fff5	0003	-11	3
344	ffec	ffc1	-20	-63
345	fff3	0012	-13	18
346	fff5	fffc	-11	-4
347	fff7	0005	-9	5
348	ffe9	ffda	-23	-38
349	fff3	000c	-13	12
350	fff5	fff8	-11	-8
351	fff4	0000	-12	0
352	08e2	fea0	2274	-352
353	fe65	001d	-411	29
354	fff5	ffff	-11	-1
355	fff5	0008	-11	8
356	fff8	fff1	-8	-15
357	fff4	0017	-12	23
358	fff3	fffd	-13	-3
359	fff5	0002	-11	2
360	fffd	0024	-3	36
361	0056	ff99	86	-103
362	fff6	fffe	-10	-2
363	fff4	0006	-12	6
364	fff4	fff0	-12	-16
365	fff4	000f	-12	15
366	fff5	fff8	-11	-8
367	fff5	0000	-11	0
368	ff8d	0031	-115	49
369	0034	fdd4	52	-556
370	fff6	ffff	-10	-1
371	fff6	0007	-10	7
372	fff4	fff1	-12	-15
373	fff0	000f	-16	15
374	fff4	fffa	-12	-6
375	fff6	0000	-10	0
376	004a	ffd8	74	-40
377	0013	002b	19	43
378	fff5	fffc	-11	-4
379	fff5	0003	-11	3
380	fff8	ffe1	-8	-31
381	fff4	0009	-12	9
382	fff4	fff5	-12	-11
383	fff5	ffff	-11	-1
384	ff74	01c2	-140	450
385	ff71	fe39	-143	-455
386	fff5	0000	-11	0
387	fff4	000a	-12	10
388	fff5	fff6	-11	-10
389	fff7	001d	-9	29
390	fff5	fffc	-11	-4
391	fff4	0003	-12	3
392	0013	ffd3	19	-45
393	004a	0025	74	37
394	fff7	ffff	-9	-1
395	fff4	0006	-12	6
396	fff1	ffef	-15	-17
397	fff2	000e	-14	14
