0	ff04	ffc2	-252	-62
1	ff19	0000	-231	0
2	0004	0000	4	0
3	0002	fffb	2	-5
4	0001	0003	1	3
5	fffd	fffc	-3	-4
6	0004	0001	4	1
7	0004	fffd	4	-3
8	fffd	0001	-3	1
9	00a2	0004	162	4
10	0004	0000	4	0
11	0005	fffc	5	-4
12	0003	0005	3	5
13	0003	fff8	3	-8
14	0005	0002	5	2
15	0004	ffff	4	-1
16	00a1	fffa	161	-6
17	0002	ffdf	2	-33
18	0004	0000	4	0
19	0005	fffc	5	-4
20	0003	0006	3	6
21	0000	fff8	0	-8
22	0005	0001	5	1
23	0004	fffd	4	-3
24	ffd4	0038	-44	56
25	ffd3	ffc4	-45	-60
26	0004	0001	4	1
27	0004	fffd	4	-3
28	0000	0005	0	5
29	0003	fff7	3	-9
30	0004	0002	4	2
31	0004	fffe	4	-2
32	0002	001c	2	28
33	fbd4	0565	-1068	1381
34	0004	0000	4	0
35	0004	fffc	4	-4
36	0003	0004	3	4
37	0007	fff2	7	-14
38	0004	0001	4	1
39	0005	fffd	5	-3
40	fff1	000b	-15	11
41	ffff	ffb6	-1	-74
42	0004	0000	4	0
43	0004	fffc	4	-4
44	0003	0007	3	7
45	0005	fff7	5	-9
46	0004	0003	4	3
47	0004	fffe	4	-2
48	fff4	005c	-12	92
49	fff3	ffa0	-13	-96
50	0004	0000	4	0
51	0004	fffa	4	-6
52	0005	0005	5	5
53	0004	fff6	4	-10
54	0003	0002	3	2
55	0004	fffe	4	-2
56	0000	0047	0	71
57	fff0	fff1	-16	-15
58	0004	0001	4	1
59	0004	fffd	4	-3
60	0007	000c	7	12
61	0004	fffa	4	-6
62	0004	0002	4	2
63	0005	0000	5	0
64	fbd6	fa99	-1066	-1383
65	026d	03d3	621	979
66	0004	0000	4	0
67	0003	fffb	3	-5
68	0003	0004	3	4
69	0004	fff1	4	-15
70	0004	0001	4	1
71	0003	fffd	3	-3
72	0011	0012	17	18
73	005d	0033	93	51
74	0004	0000	4	0
75	0004	fffd	4	-3
76	fffe	0003	-2	3
77	0003	fffb	3	-5
78	0004	0002	4	2
79	0004	fffe	4	-2
80	02ab	015c	683	348
81	ff8d	ffee	-115	-18
82	0004	0000	4	0
83	0004	fffb	4	-5
84	0006	0003	6	3
85	0003	fff6	3	-10
86	0004	0002	4	2
87	0004	fffe	4	-2
88	fff6	001a	-10	26
89	0005	ffff	5	-1
90	0004	0000	4	0
91	0004	fffe	4	-2
92	0001	0007	1	7
93	0002	fff8	2	-8
94	0003	0003	3	3
95	0004	ffff	4	-1
96	0059	ff52	89	-174
97	0059	00ab	89	171
98	0004	0000	4	0
99	0004	fffb	4	-5
100	0003	0005	3	5
101	0002	fff7	2	-9
102	0004	0001	4	1
103	0004	ffff	4	-1
104	0005	ffff	5	-1
105	fff5	ffe3	-11	-29
106	0004	0001	4	1
107	0004	fffc	4	-4
108	0003	0007	3	7
109	0007	fffa	7	-6
110	0004	0003	4	3
111	0005	fffe	5	-2
112	ff8f	000e	-113	14
113	02ab	fea0	683	-352
114	0004	0000	4	0
115	0005	fffc	5	-4
116	0003	0002	3	2
117	fffe	fffb	-2	-5
118	0004	0002	4	2
119	0004	fffe	4	-2
120	005d	ffcb	93	-53
121	0011	ffeb	17	-21
122	0003	0002	3	2
123	0004	fffe	4	-2
124	0004	000c	4	12
125	0003	fffa	3	-6
126	0003	0003	3	3
127	0004	ffff	4	-1
128	026d	fc29	621	-983
129	ff0d	fe11	-243	-495
130	0004	0000	4	0
131	0004	fffb	4	-5
132	0003	0004	3	4
133	0004	fff0	4	-16
134	0004	0001	4	1
135	0004	fffd	4	-3
136	000d	002c	13	44
137	ffe2	ffe7	-30	-25
138	0004	0000	4	0
139	0005	fffc	5	-4
140	0003	0005	3	5
141	0002	fff6	2	-10
142	0004	0002	4	2
143	0003	fffd	3	-3
144	0041	0059	65	89
145	002d	006e	45	110
146	0004	0000	4	0
147	0004	fffb	4	-5
148	0004	0004	4	4
149	0003	fff6	3	-10
150	0003	0003	3	3
151	0004	fffd	4	-3
152	0011	0013	17	19
153	fffe	004e	-2	78
154	0004	0001	4	1
155	0004	fffc	4	-4
156	0001	0002	1	2
157	0004	fff9	4	-7
158	0004	0002	4	2
159	0004	fffe	4	-2
160	0019	0059	25	89
161	fe0c	fc19	-500	-999
162	0004	0000	4	0
163	0005	fffa	5	-6
164	0003	0005	3	5
165	ffeb	fff2	-21	-14
166	0004	0001	4	1
167	0004	fffd	4	-3
168	000c	0009	12	9
169	00d3	ff94	211	-108
170	0003	0001	3	1
171	0004	fffb	4	-5
172	0002	0007	2	7
173	0003	fff9	3	-7
174	0003	0004	3	4
175	0004	ffff	4	-1
176	ffb6	fe4e	-74	-434
177	ff70	ffff	-144	-1
178	0004	0000	4	0
179	0004	fffb	4	-5
180	0002	0005	2	5
181	0001	fff6	1	-10
182	0004	0003	4	3
183	0003	fffe	3	-2
184	000a	0021	10	33
185	0004	fff5	4	-11
186	0004	0001	4	1
187	0004	fffd	4	-3
188	0005	000b	5	11
189	0003	fff9	3	-7
190	0003	0002	3	2
191	0003	fffe	3	-2
192	01a8	0058	424	88
193	01a8	ffa3	424	-93
194	0004	0000	4	0
195	0004	fffb	4	-5
196	0003	0004	3	4
