0	0061	ffcd	97	-51
1	fff1	0000	-15	0
2	fffd	0000	-3	0
3	fffc	0004	-4	4
4	fffc	fffc	-4	-4
5	0003	000c	3	12
6	fffc	ffff	-4	-1
7	fffc	0001	-4	1
8	0003	fff3	3	-13
9	ffb4	0015	-76	21
10	fffd	ffff	-3	-1
11	fffc	0002	-4	2
12	fffe	fffc	-2	-4
13	fffd	0002	-3	2
14	fffc	fffd	-4	-3
15	fffc	0000	-4	0
16	ffb5	ffe9	-75	-23
17	ff94	0037	-108	55
18	fffd	0000	-3	0
19	fffd	0001	-3	1
20	fffc	fffd	-4	-3
21	fffb	0004	-5	4
22	fffd	fffe	-3	-2
23	fffc	0000	-4	0
24	0004	ffd0	4	-48
25	0004	002e	4	46
26	fffd	ffff	-3	-1
27	fffc	0001	-4	1
28	fffb	fffb	-5	-5
29	fffb	0002	-5	2
30	fffd	fffe	-3	-2
31	fffc	0000	-4	0
32	ff94	ffc7	-108	-57
33	04ec	fb32	1260	-1230
34	fffd	0000	-3	0
35	fffc	0002	-4	2
36	fffc	fffc	-4	-4
37	fff6	ffff	-10	-1
38	fffd	fffe	-3	-2
39	fffc	0000	-4	0
40	000c	fff0	12	-16
41	ffe3	0054	-29	84
42	fffd	0000	-3	0
43	fffc	0002	-4	2
44	fffb	fffb	-5	-5
45	fffb	0004	-5	4
46	fffc	fffd	-4	-3
47	fffb	0000	-5	0
48	0057	ffba	87	-70
49	0058	0044	88	68
50	fffd	ffff	-3	-1
51	fffc	0002	-4	2
52	fffc	fffb	-4	-5
53	fffb	0004	-5	4
54	fffd	fffe	-3	-2
55	fffc	0000	-4	0
56	ffe4	ffaa	-28	-86
57	000c	000e	12	14
58	fffc	ffff	-4	-1
59	fffc	0000	-4	0
60	fff6	ffff	-10	-1
61	fffb	0002	-5	2
62	fffc	fffc	-4	-4
63	fffc	ffff	-4	-1
64	04eb	04ca	1259	1226
65	fcdd	fe18	-803	-488
66	fffc	0000	-4	0
67	fffc	0002	-4	2
68	fffb	fffe	-5	-2
69	fffb	000c	-5	12
70	fffc	0000	-4	0
71	fffd	0000	-3	0
72	fffb	ffec	-5	-20
73	fffe	ffec	-2	-20
74	fffd	ffff	-3	-1
75	fffd	0001	-3	1
76	fff8	fffb	-8	-5
77	fffb	0003	-5	3
78	fffd	ffff	-3	-1
79	fffb	0000	-5	0
80	ffa2	ffd3	-94	-45
81	ff7d	ff92	-131	-110
82	fffd	ffff	-3	-1
83	fffc	0002	-4	2
84	fffb	fff9	-5	-7
85	fffc	0004	-4	4
86	fffd	fffe	-3	-2
87	fffc	0000	-4	0
88	ffd3	000d	-45	13
89	fff6	0004	-10	4
90	fffd	ffff	-3	-1
91	fffb	0001	-5	1
92	fffc	fffa	-4	-6
93	fffb	0001	-5	1
94	fffc	fffd	-4	-3
95	fffb	0000	-5	0
96	0010	ff1d	16	-227
97	0010	00e1	16	225
98	fffd	0000	-3	0
99	fffc	0002	-4	2
100	fffc	fffd	-4	-3
101	fffb	0005	-5	5
102	fffc	ffff	-4	-1
103	fffd	0000	-3	0
104	fff8	fffa	-8	-6
105	ffd1	fff0	-47	-16
106	fffd	ffff	-3	-1
107	fffd	0001	-3	1
108	fffd	fffa	-3	-6
109	fffa	0005	-6	5
110	fffc	fffd	-4	-3
111	fffd	0000	-3	0
112	ff7f	006a	-129	106
113	ffa0	002b	-96	43
114	fffc	ffff	-4	-1
115	fffd	0001	-3	1
116	fffb	fffc	-5	-4
117	fff8	0004	-8	4
118	fffe	fffe	-2	-2
119	fffd	0000	-3	0
120	0000	0011	0	17
121	fffa	0012	-6	18
122	fffd	ffff	-3	-1
123	fffb	ffff	-5	-1
124	fffc	fff3	-4	-13
125	fffb	0000	-5	0
126	fffc	fffc	-4	-4
127	fffc	ffff	-4	-1
128	fcdf	01e3	-801	483
129	0277	fe2e	631	-466
130	fffd	0000	-3	0
131	fffc	0003	-4	3
132	fffd	fffd	-3	-3
133	fffb	0007	-5	7
134	fffd	ffff	-3	-1
135	fffc	0000	-4	0
136	fffa	001f	-6	31
137	ffc9	000a	-55	10
138	fffd	0000	-3	0
139	fffd	0002	-3	2
140	fffd	fffa	-3	-6
141	fffa	0005	-6	5
142	fffd	ffff	-3	-1
143	fffb	0000	-5	0
144	0021	ffc1	33	-63
145	008a	ffc4	138	-60
146	fffd	ffff	-3	-1
147	fffb	0001	-5	1
148	fffb	fffb	-5	-5
149	fffb	0004	-5	4
150	fffd	fffe	-3	-2
151	fffc	0000	-4	0
152	ffe5	001e	-27	30
153	ffd5	003e	-43	62
154	fffd	ffff	-3	-1
155	fffc	0001	-4	1
156	fff2	fff6	-14	-10
157	fffb	0003	-5	3
158	fffb	fffd	-5	-3
159	fffc	0000	-4	0
160	ff08	ffbb	-248	-69
161	fced	062e	-787	1582
162	fffd	ffff	-3	-1
163	fffc	0003	-4	3
164	fffb	fffb	-5	-5
165	0003	0010	3	16
166	fffd	fffe	-3	-2
167	fffd	0000	-3	0
168	fff5	fff3	-11	-13
169	000e	ff83	14	-125
170	fffc	ffff	-4	-1
171	fffc	0001	-4	1
172	fffb	0005	-5	5
173	fffa	0004	-6	4
174	fffd	fffd	-3	-3
175	fffc	ffff	-4	-1
176	fddc	00d5	-548	213
177	004c	0089	76	137
178	fffd	ffff	-3	-1
179	fffc	0001	-4	1
180	fffc	fffb	-4	-5
181	fffc	0005	-4	5
182	fffd	fffe	-3	-2
183	fffc	0001	-4	1
184	002a	ffb6	42	-74
185	fff6	fffc	-10	-4
186	fffc	fffe	-4	-2
187	fffb	0001	-5	1
188	fff8	fff8	-8	-8
189	fffa	0001	-6	1
190	fffd	fffd	-3	-3
191	fffb	0000	-5	0
192	00b9	ff0b	185	-245
193	00b9	00f2	185	242
194	fffd	0000	-3	0
195	fffc	0003	-4	3
196	fffb	fffd	-5	-3
197	fff8	0005	-8	5
