0	ffc0	0064	-64	100
1	ff9b	0000	-101	0
2	fffa	0000	-6	0
3	fffa	0008	-6	8
4	fffa	fff7	-6	-9
5	0000	fff6	0	-10
6	fffa	fffe	-6	-2
7	fffa	0002	-6	2
8	0000	0008	0	8
9	0022	ffe8	34	-24
10	fffa	ffff	-6	-1
11	fffa	0003	-6	3
12	fffa	fff6	-6	-10
13	fff9	0008	-7	8
14	fffa	fffc	-6	-4
15	fff8	0000	-8	0
16	0021	0014	33	20
17	0008	ff83	8	-125
18	fffa	0000	-6	0
19	fff9	0005	-7	5
20	fff9	fff8	-7	-8
21	fff8	000d	-8	13
22	fffa	fffd	-6	-3
23	fff9	0001	-7	1
24	fff5	ffbe	-11	-66
25	fff4	0040	-12	64
26	fffa	fffe	-6	-2
27	fffa	0003	-6	3
28	fff9	fff2	-7	-14
29	fff9	0006	-7	6
30	fffa	fffa	-6	-6
31	fff9	ffff	-7	-1
32	0007	0079	7	121
33	fd28	0354	-728	852
34	fffa	ffff	-6	-1
35	fff9	0005	-7	5
36	fff9	fffa	-7	-6
37	fffb	0011	-5	17
38	fff9	fffd	-7	-3
39	fffa	0002	-6	2
40	0002	ffe0	2	-32
41	ffec	ffb5	-20	-75
42	fffa	fffe	-6	-2
43	fffa	0004	-6	4
44	fffb	fff6	-5	-10
45	fff9	0008	-7	8
46	fffb	fffc	-5	-4
47	fff9	0001	-7	1
48	ffe7	ff90	-25	-112
49	ffe5	006f	-27	111
50	fffa	ffff	-6	-1
51	fffa	0004	-6	4
52	fff9	fff7	-7	-9
53	fffa	0009	-6	9
54	fffa	fffc	-6	-4
55	fff9	0001	-7	1
56	ffee	0048	-18	72
57	0001	001e	1	30
58	fff9	fffd	-7	-3
59	fff9	0003	-7	3
60	fffc	ffee	-4	-18
61	fff9	0005	-7	5
62	fffa	fffb	-6	-5
63	fff9	0000	-7	0
64	fd2a	fca9	-726	-855
65	ff0a	fc63	-246	-925
66	fffa	0000	-6	0
67	fffa	0006	-6	6
68	fff9	fff9	-7	-7
69	0006	0013	6	19
70	fffa	fffd	-6	-3
71	fff9	0002	-7	2
72	000b	ffd9	11	-39
73	0096	002c	150	44
74	fffa	ffff	-6	-1
75	fffa	0004	-6	4
